"NFICode";"NFIName";"originalName";"originalNameAuthorship";"acceptedName";"acceptedNameAuthorship";"taxonomicStatus";"taxonRank"
8102;"Erica ciliaris";"Erica ciliaris";"Loefl. ex L.";"Erica ciliaris";"L.";"Accepted";"species"
5102;"Erica cinerea";"Erica cinerea";"L.";"Erica cinerea";"L.";"Accepted";"species"
9102;"Erica erigena";"Erica erigena";"R.Ross";"Erica erigena";"R.Ross";"Accepted";"species"
4102;"Erica multiflora";"Erica multiflora";"L.";"Erica multiflora";"L.";"Accepted";"species"
283;"Erica scoparia";"Erica scoparia";"L.";"Erica scoparia";"L.";"Accepted";"species"
6102;"Erica scoparia";"Erica scoparia";"L.";"Erica scoparia";"L.";"Accepted";"species"
102;"Erica spp.";"Erica";;"Erica";"L.";"Accepted";"genus"
1202;"Erica tetralix";"Erica tetralix";"L.";"Erica tetralix";"L.";"Accepted";"species"
7102;"Erica umbellata";"Erica umbellata";"Loefl. ex L.";"Erica umbellata";"L.";"Accepted";"species"
3102;"Erica vagans";"Erica vagans";"L.";"Erica vagans";"L.";"Accepted";"species"
1166;"Erinacea anthyllis";"Erinacea anthyllis";"Link";"Erinacea anthyllis";"Link";"Accepted";"species"
1104;"Erinacea spp.";"Erinacea";;"Erinacea";"Tourn. ex Adans.";"Accepted";"genus"
62;"Eucalyptus camaldulensis";"Eucalyptus camaldulensis";"Dehnh.";"Eucalyptus camaldulensis";"Dehnh.";"Accepted";"species"
61;"Eucalyptus globulus";"Eucalyptus globulus";"Labill.";"Eucalyptus globulus";"Labill.";"Accepted";"species"
364;"Eucalyptus gomphocephalus";"Eucalyptus gomphocephalus";;"Eucalyptus gomphocephala";"DC.";"Accepted";"species"
64;"Eucalyptus nitens";"Eucalyptus nitens";;"Eucalyptus nitens";"Maiden";"Accepted";"species"
464;"Eucalyptus robusta";"Eucalyptus robusta";"Sm.";"Eucalyptus robusta";"Sm.";"Accepted";"species"
264;"Eucalyptus viminalis";"Eucalyptus viminalis";"Labill.";"Eucalyptus viminalis";"Labill.";"Accepted";"species"
5;"Euonymus europaeus";"Euonymus europaeus";"L.";"Euonymus europaeus";"L.";"Accepted";"species"
500;"Euonymus europaeus";"Euonymus europaeus";"L.";"Euonymus europaeus";"L.";"Accepted";"species"
3162;"Euphorbia aphylla";"Euphorbia aphylla";"Brouss. ex Willd.";"Euphorbia aphylla";"Brouss.";"Accepted";"species"
1162;"Euphorbia canariensis";"Euphorbia canariensis";"L.";"Euphorbia canariensis";"L.";"Accepted";"species"
2162;"Euphorbia handiensis";"Euphorbia handiensis";"Burchard";"Euphorbia handiensis";"Burchard";"Accepted";"species"
162;"Euphorbia spp.";"Euphorbia";;"Euphorbia";"L.";"Accepted";"genus"
71;"Fagus sylvatica";"Fagus sylvatica";"L.";"Fagus sylvatica";"L.";"Accepted";"species"
299;"Ficus carica";"Ficus carica";"L.";"Ficus carica";"L.";"Accepted";"species"
181;"Flueggea tinctoria";"Flueggea tinctoria";"(L.) G.L.Webster";"Flueggea tinctoria";"(L.) G.L.Webster";"Accepted";"species"
3;"Frangula alnus";"Frangula alnus";"Mill.";"Frangula alnus";"Mill.";"Accepted";"species"
300;"Frangula alnus";"Frangula alnus";"Mill.";"Frangula alnus";"Mill.";"Accepted";"species"
55;"Fraxinus angustifolia";"Fraxinus angustifolia";"Vahl";"Fraxinus angustifolia";"Vahl";"Accepted";"species"
255;"Fraxinus excelsior";"Fraxinus excelsior";"L.";"Fraxinus excelsior";"L.";"Accepted";"species"
355;"Fraxinus ornus";"Fraxinus ornus";"L.";"Fraxinus ornus";"L.";"Accepted";"species"
455;"Fraxinus spp.";"Fraxinus";;"Fraxinus";"L.";"Accepted";"genus"
955;"Fraxinus spp.";"Fraxinus";;"Fraxinus";"L.";"Accepted";"genus"
1255;"Genista anglica";"Genista anglica";"L.";"Genista anglica";"L.";"Accepted";"species"
6155;"Genista baetica";"Genista baetica";;"Genista versicolor  subsp. versicolor";"Boiss.";"Accepted";"subspecies"
5155;"Genista balansae";"Genista balansae";;"Genista balansae";"(Boiss.) Rouy";"Unchecked";"species"
1355;"Genista cinerascens";"Genista cinerascens";"Lange";"Genista cinerascens";"Lange";"Accepted";"species"
8155;"Genista cinerea";"Genista cinerea";"(Vill.) DC. in Lam. & DC.";"Genista cinerea";"(Vill.) DC.";"Accepted";"species"
9075;"Genista dorycnifolia";"Genista dorycnifolia";"Font Quer";"Genista dorycnifolia";"Font Quer";"Accepted";"species"
1455;"Genista falcata";"Genista falcata";"Brot.";"Genista falcata";"Brot.";"Accepted";"species"
1555;"Genista florida";"Genista florida";"L.";"Genista florida";"L.";"Accepted";"species"
1156;"Genista hirsuta";"Genista hirsuta";"Vahl";"Genista hirsuta";"Vahl";"Accepted";"species"
10155;"Genista hirsuta";"Genista hirsuta";"Vahl";"Genista hirsuta";"Vahl";"Accepted";"species"
1655;"Genista hispanica";"Genista hispanica";"L.";"Genista hispanica";"L.";"Accepted";"species"
1755;"Genista hystrix";"Genista hystrix";"Lange";"Genista hystrix";"Lange";"Accepted";"species"
9155;"Genista linifolia";"Genista linifolia";;"Genista linifolia";"L.";"Accepted";"species"
1155;"Genista monspessulana";"Genista monspessulana";;"Genista monspessulana";"(L.) L.A.S.Johnson";"Accepted";"species"
2155;"Genista patens";"Genista patens";;"Genista patens";"DC.";"Accepted";"species"
3155;"Genista scorpius";"Genista scorpius";"(L.) DC. in Lam. & DC.";"Genista scorpius";"(L.) DC.";"Accepted";"species"
155;"Genista spp.";"Genista";;"Genista";"L.";"Accepted";"genus"
2156;"Genista triacanthos";"Genista triacanthos";"Brot.";"Genista triacanthos";"Brot.";"Accepted";"species"
11155;"Genista triacanthos";"Genista triacanthos";"Brot.";"Genista triacanthos";"Brot.";"Accepted";"species"
12155;"Genista tridens";"Genista tridens";"(Cav.) DC.";"Genista tridens";"(Cav.) DC.";"Accepted";"species"
13155;"Genista tridentata";"Genista tridentata";;"Genista tridentata";"L.";"Accepted";"species"
