"NFICode";"NFIName";"originalName";"originalNameAuthorship";"acceptedName";"acceptedNameAuthorship";"taxonomicStatus";"taxonRank"
6781;"Cryptocarya mannii";"Cryptocarya mannii";"Hillebr.";"Cryptocarya mannii";"Hillebr.";"Accepted";"species"
6778;"Cryptocarya oreophila";"Cryptocarya oreophila";;"Beilschmiedia oreophila";"Schltr.";"Accepted";"species"
6783;"Cryptocarya spp.";"Cryptocarya";"R. Br.";"Cryptocarya";"R.Br.";"Accepted";"genus"
6784;"Cryptocarya turbinata";"Cryptocarya turbinata";;"Cryptocarya turbinata";"Gillespie";"Accepted";"species"
6786;"Cryptomeria japonica";"Cryptomeria japonica";"(L. f.) D. Don";"Cryptomeria japonica";"(Thunb. ex L.f.) D.Don";"Accepted";"species"
6787;"Cryptomeria spp.";"Cryptomeria";"D. Don";"Cryptomeria";"D.Don";"Accepted";"genus"
5776;"Cudrania tricuspidata";"Cudrania tricuspidata";"(Carrière) Bureau ex Lavallée";"Maclura tricuspidata";"Carrière";"Accepted";"species"
6788;"Cunninghamia lanceolata";"Cunninghamia lanceolata";"(Lamb.) Hook.";"Cunninghamia lanceolata";"(Lamb.) Hook.";"Accepted";"species"
6790;"Cupania americana";"Cupania americana";"L.";"Cupania americana";"L.";"Accepted";"species"
6792;"Cupania triquetra";"Cupania triquetra";"A. Rich.";"Cupania triquetra";"A.Rich.";"Accepted";"species"
866;"Cupaniopsis anacardioides";"Cupaniopsis anacardioides";"(A. Rich.) Radlk.";"Cupaniopsis anacardioides";"(A.Rich.) Radlk.";"Accepted";"species"
5800;"Cupressocyparis leylandii";"x Cupressocyparis leylandii";"(Dallim. & A.B. Jacks.) Dallim.";"Cupressocyparis leylandii";"(A.B.Jacks. & Dallim.) Dallim.";"Unchecked";"species"
51;"Cupressus arizonica";"Cupressus arizonica";"Greene";"Cupressus arizonica";"Greene";"Accepted";"species"
52;"Cupressus bakeri";"Cupressus bakeri";"Jeps.";"Cupressus bakeri";"Jeps.";"Accepted";"species"
53;"Cupressus forbesii";"Cupressus forbesii";"Jeps.";"Hesperocyparis forbesii";"(Jeps.) Bartel";"Accepted";"species"
6795;"Cupressus lusitanica";"Cupressus lusitanica";"Mill.";"Cupressus lusitanica";"Mill.";"Accepted";"species"
56;"Cupressus macnabiana";"Cupressus macnabiana";"A. Murray bis";"Cupressus macnabiana";"A.Murray bis";"Accepted";"species"
54;"Cupressus macrocarpa";"Cupressus macrocarpa";"Hartw. ex Gord.";"Cupressus macrocarpa";"Hartw.";"Accepted";"species"
55;"Cupressus sargentii";"Cupressus sargentii";"Jeps.";"Cupressus sargentii";"Jeps.";"Accepted";"species"
6796;"Cupressus sempervirens";"Cupressus sempervirens";"L.";"Cupressus sempervirens";"L.";"Accepted";"species"
50;"Cupressus spp.";"Cupressus";"L.";"Cupressus";"L.";"Accepted";"genus"
6800;"Cyanea aculeatiflora";"Cyanea aculeatiflora";"Rock";"Cyanea aculeatiflora";"Rock";"Accepted";"species"
6801;"Cyanea arborea";"Cyanea arborea";"Hillebr.";"Cyanea arborea";"Hillebr.";"Accepted";"species"
6802;"Cyanea fissa";"Cyanea fissa";"(H. Mann) Hillebr.";"Cyanea fissa";"Hillebr.";"Accepted";"species"
6805;"Cyanea floribunda";"Cyanea floribunda";"E. Wimm.";"Cyanea floribunda";"E.Wimm.";"Accepted";"species"
6806;"Cyanea giffardii";"Cyanea giffardii";"Rock";"Cyanea giffardii";"Rock";"Accepted";"species"
6807;"Cyanea hamatiflora";"Cyanea hamatiflora";"Rock";"Cyanea hamatiflora";"Rock";"Accepted";"species"
6810;"Cyanea hardyi";"Cyanea hardyi";"Rock";"Cyanea hardyi";"Rock";"Accepted";"species"
6811;"Cyanea horrida";"Cyanea horrida";"(Rock) O. Deg. & Hosaka";"Cyanea horrida";"(Rock) O.Deg. & Hosaka";"Accepted";"species"
6812;"Cyanea kuhihewa";"Cyanea kuhihewa";"Lammers";"Cyanea kuhihewa";"Lammers";"Accepted";"species"
6813;"Cyanea kunthiana";"Cyanea kunthiana";"(Gaudich.) Hillebr.";"Cyanea kunthiana";"Hillebr.";"Accepted";"species"
6814;"Cyanea leptostegia";"Cyanea leptostegia";"A. Gray";"Cyanea leptostegia";"A.Gray";"Accepted";"species"
6815;"Cyanea macrostegia";"Cyanea macrostegia";"Hillebr.";"Cyanea macrostegia";"Hilleb.";"Accepted";"species"
6818;"Cyanea marksii";"Cyanea marksii";"Rock";"Cyanea marksii";"Rock";"Accepted";"species"
6819;"Cyanea pilosa";"Cyanea pilosa";"A. Gray";"Cyanea pilosa";"A.Gray";"Accepted";"species"
6822;"Cyanea pohaku";"Cyanea pohaku";"Lammers";"Cyanea pohaku";"Lammers";"Accepted";"species"
6823;"Cyanea procera";"Cyanea procera";"Hillebr.";"Cyanea procera";"Hillebr.";"Accepted";"species"
6824;"Cyanea pycnocarpa";"Cyanea pycnocarpa";"(Hillebr.) E. Wimm.";"Cyanea pycnocarpa";"(Hillebr.) E.Wimm.";"Accepted";"species"
6825;"Cyanea quercifolia";"Cyanea quercifolia";"(Hillebr.) E. Wimm.";"Cyanea quercifolia";"(Hillebr.) E.Wimm.";"Accepted";"species"
