"NFICode";"NFIName";"originalName";"originalNameAuthorship";"acceptedName";"acceptedNameAuthorship";"family";"genus";"specificEpithet";"taxonRank"
140;"Globularia alypum";"Globularia alypum";"L.";"Globularia alypum";"L.";"Plantaginaceae";"Globularia";"alypum";"species"
4117;"Halimium atriplicifolium";"Halimium atriplicifolium";"(Lam.) Spach";"Cistus atriplicifolius";"Lam.";"Cistaceae";"Cistus";"atriplicifolius";"species"
2117;"Halimium commutatum";"Halimium commutatum";;"Cistus commutatus";"(Pau) Byng & Christenh.";"Cistaceae";"Cistus";"commutatus";"species"
1117;"Halimium halimifolium";"Halimium halimifolium";"(L.) Willk. in Willk. & Lange";"Cistus halimifolius";"L.";"Cistaceae";"Cistus";"halimifolius";"species"
3117;"Halimium lasianthum";"Halimium lasianthum";"(Lam.) Spach";"Cistus lasianthus";"Lam.";"Cistaceae";"Cistus";"lasianthus";"species"
5117;"Halimium ocymoides";"Halimium ocymoides";"(Lam.) Willk. in Willk. & Lange";"Cistus ocymoides";"Lam.";"Cistaceae";"Cistus";"ocymoides";"species"
117;"Halimium spp.";"Halimium";;"Cistus";"L.";"Cistaceae";"Cistus";;"genus"
6117;"Halimium umbellatum";"Halimium umbellatum";"(L.) Spach";"Cistus umbellatus";"L.";"Cistaceae";"Cistus";"umbellatus";"species"
1;"Heberdenia bahamensis";"Heberdenia bahamensis";;"Heberdenia excelsa";"(Aiton) DC.";"Primulaceae";"Heberdenia";"excelsa";"species"
141;"Hedera helix";"Hedera helix";"L.";"Hedera helix";"L.";"Araliaceae";"Hedera";"helix";"species"
142;"Helianthemum spp.";"Helianthemum";;"Helianthemum";"Mill.";"Cistaceae";"Helianthemum";;"genus"
1128;"Helichrysum italicum";"Helichrysum italicum";"(Roth) G.Don";"Helichrysum italicum";"(Roth) G.Don";"Asteraceae";"Helichrysum";"italicum";"species"
2128;"Helichrysum spp.";"Helichrysum";;"Helichrysum";"Mill.";"Asteraceae";"Helichrysum";;"genus"
128;"Helichrysum stoechas";"Helichrysum stoechas";"(L.) Moench";"Helichrysum stoechas";"(L.) Moench";"Asteraceae";"Helichrysum";"stoechas";"species"
9000;"Herbazal en mosaico";;;;;;;;
163;"Hypericum canariensis";"Hypericum canariensis";;"Hypericum canariense";"L.";"Hypericaceae";"Hypericum";"canariense";"species"
65;"Ilex aquifolium";"Ilex aquifolium";"L.";"Ilex aquifolium";"L.";"Aquifoliaceae";"Ilex";"aquifolium";"species"
82;"Ilex canariensis";"Ilex canariensis";"Poir.";"Ilex canariensis";"Poir.";"Aquifoliaceae";"Ilex";"canariensis";"species"
282;"Ilex platyphylla";"Ilex platyphylla";;"Ilex perado  subsp. platyphylla";"(Webb & Berthel.) Tutin";"Aquifoliaceae";"Ilex";"perado";"subspecies"
143;"Jasminum fruticans";"Jasminum fruticans";"L.";"Chrysojasminum fruticans";"(L.) Banfi";"Oleaceae";"Chrysojasminum";"fruticans";"species"
275;"Juglans nigra";"Juglans nigra";"L.";"Juglans nigra";"L.";"Juglandaceae";"Juglans";"nigra";"species"
75;"Juglans regia";"Juglans regia";"L.";"Juglans regia";"L.";"Juglandaceae";"Juglans";"regia";"species"
975;"Juglans spp.";"Juglans";;"Juglans";"L.";"Juglandaceae";"Juglans";;"genus"
337;"Juniperus cedrus";"Juniperus cedrus";"Webb & Berthel.";"Juniperus cedrus";"Webb & Berthel.";"Cupressaceae";"Juniperus";"cedrus";"species"
37;"Juniperus communis";"Juniperus communis";"L.";"Juniperus communis";"L.";"Cupressaceae";"Juniperus";"communis";"species"
3700;"Juniperus communis ssp. alpina";"Juniperus communis alpina";"(Suter) Celak.";"Juniperus communis";"L.";"Cupressaceae";"Juniperus";"communis";"species"
237;"Juniperus oxycedrus";"Juniperus oxycedrus";"L.";"Juniperus oxycedrus";"L.";"Cupressaceae";"Juniperus";"oxycedrus";"species"
39;"Juniperus phoenicea";"Juniperus phoenicea";"L.";"Juniperus phoenicea";"L.";"Cupressaceae";"Juniperus";"phoenicea";"species"
239;"Juniperus sabina";"Juniperus sabina";"L.";"Juniperus sabina";"L.";"Cupressaceae";"Juniperus";"sabina";"species"
1139;"Juniperus sabina";"Juniperus sabina";"L.";"Juniperus sabina";"L.";"Cupressaceae";"Juniperus";"sabina";"species"
937;"Juniperus spp.";"Juniperus";;"Juniperus";"L.";"Cupressaceae";"Juniperus";;"genus"
38;"Juniperus thurifera";"Juniperus thurifera";"L.";"Juniperus thurifera";"L.";"Cupressaceae";"Juniperus";"thurifera";"species"
238;"Juniperus turbinata";"Juniperus turbinata";;"Juniperus turbinata";"Guss.";"Cupressaceae";"Juniperus";"turbinata";"species"
164;"Kleinia neriifolia";"Kleinia neriifolia";"Haw.";"Kleinia neriifolia";"Haw.";"Asteraceae";"Kleinia";"neriifolia";"species"
235;"Larix decidua";"Larix decidua";"Mill.";"Larix decidua";"Mill.";"Pinaceae";"Larix";"decidua";"species"
335;"Larix leptolepis";"Larix leptolepis";;"Larix kaempferi";"(Lamb.) Carrière";"Pinaceae";"Larix";"kaempferi";"species"
35;"Larix spp.";"Larix";;"Larix";"Mill.";"Pinaceae";"Larix";;"genus"
435;"Larix x eurolepis";"Larix x eurolepis";;;;;;;
185;"Launaea arborescens";"Launaea arborescens";"(Batt.) Murb.";"Launaea arborescens";"(Batt.) Murb.";"Asteraceae";"Launaea";"arborescens";"species"
80;"Laurisilva";"Laurisilva";;"Liparis laurisilvatica";"Fukuy.";"Orchidaceae";"Liparis";"laurisilvatica";"species"
294;"Laurus azorica";"Laurus azorica";;"Laurus azorica";"(Seub.) Franco";"Lauraceae";"Laurus";"azorica";"species"
94;"Laurus nobilis";"Laurus nobilis";"L.";"Laurus nobilis";"L.";"Lauraceae";"Laurus";"nobilis";"species"
3109;"Lavandula lanata";"Lavandula lanata";"Boiss.";"Lavandula lanata";"Boiss.";"Lamiaceae";"Lavandula";"lanata";"species"
1109;"Lavandula latifolia";"Lavandula latifolia";"Medik.";"Lavandula latifolia";"Medik.";"Lamiaceae";"Lavandula";"latifolia";"species"
4109;"Lavandula pedunculata";"Lavandula pedunculata";"(Mill.) Cav.";"Lavandula pedunculata";"(Mill.) Cav.";"Lamiaceae";"Lavandula";"pedunculata";"species"
109;"Lavandula spp.";"Lavandula";;"Lavandula";"L.";"Lamiaceae";"Lavandula";;"genus"
2109;"Lavandula stoechas";"Lavandula stoechas";"L.";"Lavandula stoechas";"L.";"Lamiaceae";"Lavandula";"stoechas";"species"
112;"Ligustrum vulgare";"Ligustrum vulgare";"L.";"Ligustrum vulgare";"L.";"Oleaceae";"Ligustrum";"vulgare";"species"
182;"Lithodora spp.";"Lithodora";;"Lithodora";"Griseb.";"Boraginaceae";"Lithodora";;"genus"
1144;"Lonicera etrusca";"Lonicera etrusca";"Santi";"Lonicera etrusca";"Santi";"Caprifoliaceae";"Lonicera";"etrusca";"species"
2144;"Lonicera implexa";"Lonicera implexa";"Aiton";"Lonicera implexa";"Aiton";"Caprifoliaceae";"Lonicera";"implexa";"species"
3144;"Lonicera periclymenum";"Lonicera periclymenum";"L.";"Lonicera periclymenum";"L.";"Caprifoliaceae";"Lonicera";"periclymenum";"species"
4144;"Lonicera pyrenaica";"Lonicera pyrenaica";"L.";"Lonicera pyrenaica";"L.";"Caprifoliaceae";"Lonicera";"pyrenaica";"species"
9012;"Lonicera pyrenaica";"Lonicera pyrenaica";"L.";"Lonicera pyrenaica";"L.";"Caprifoliaceae";"Lonicera";"pyrenaica";"species"
144;"Lonicera spp.";"Lonicera";;"Lonicera";"L.";"Caprifoliaceae";"Lonicera";;"genus"
5144;"Lonicera xylosteum";"Lonicera xylosteum";"L.";"Lonicera xylosteum";"L.";"Caprifoliaceae";"Lonicera";"xylosteum";"species"
12;"Malus sylvestris";"Malus sylvestris";"(L.) Mill.";"Malus sylvestris";"(L.) Mill.";"Rosaceae";"Malus";"sylvestris";"species"
8000;"Matorral en mosaico";;;;;;;;
158;"Maytenus canariensis";"Maytenus canariensis";;"Gymnosporia cassinoides";"(L'Hér.) Masf.";"Celastraceae";"Gymnosporia";"cassinoides";"species"
1158;"Maytenus senegalensis";"Maytenus senegalensis";"(Lam.) Exell";"Gymnosporia senegalensis";"Loes.";"Celastraceae";"Gymnosporia";"senegalensis";"species"
145;"Medicago arborea";"Medicago arborea";"L.";"Medicago arborea";"L.";"Fabaceae";"Medicago";"arborea";"species"
9076;"Medicago arborea";"Medicago arborea";"L.";"Medicago arborea";"L.";"Fabaceae";"Medicago";"arborea";"species"
30;"Mezcla de coníferas";;;;;;;;
60;"Mezcla de eucaliptos";"Eucalyptus";;"Eucalyptus";"L'Hér.";"Myrtaceae";"Eucalyptus";;"genus"
70;"Mezcla de frondosas de gran porte";;;;;;;;
90;"Mezcla de pequeñas frondosas";;;;;;;;
50;"Mezcla de árboles de ribera";;;;;;;;
499;"Morus alba";"Morus alba";"L.";"Morus alba";"L.";"Moraceae";"Morus";"alba";"species"
599;"Morus nigra";"Morus nigra";"L.";"Morus nigra";"L.";"Moraceae";"Morus";"nigra";"species"
399;"Morus spp.";"Morus";;"Morus";"L.";"Moraceae";"Morus";;"genus"
81;"Myrica faya";"Myrica faya";"Aiton";"Myrica faya";"[Dryand.]";"Myricaceae";"Myrica";"faya";"species"
281;"Myrica rivas-martinezii";"Myrica rivas-martinezii";;"Myrica rivas-martinezii";"A.Santos";"Myricaceae";"Myrica";"rivas-martinezii";"species"
6;"Myrtus communis";"Myrtus communis";"L.";"Myrtus communis";"L.";"Myrtaceae";"Myrtus";"communis";"species"
600;"Myrtus communis";"Myrtus communis";"L.";"Myrtus communis";"L.";"Myrtaceae";"Myrtus";"communis";"species"
146;"Nerium oleander";"Nerium oleander";"L.";"Nerium oleander";"L.";"Apocynaceae";"Nerium";"oleander";"species"
87;"Ocotea phoetens";"Ocotea phoetens";;"Ocotea";"Aubl.";"Lauraceae";"Ocotea";;"genus"
66;"Olea europaea";"Olea europaea";"L.";"Olea europaea";"L.";"Oleaceae";"Olea";"europaea";"species"
8104;"Ononis spp.";"Ononis";;"Ononis";"L.";"Fabaceae";"Ononis";;"genus"
156;"Ononis tridentata";"Ononis tridentata";"L.";"Ononis tridentata";"L.";"Fabaceae";"Ononis";"tridentata";"species"
1135;"Osyris alba";"Osyris alba";"L.";"Osyris alba";"L.";"Santalaceae";"Osyris";"alba";"species"
2135;"Osyris lanceolata";"Osyris lanceolata";"Hochst. & Steud.";"Osyris lanceolata";"Hochst. & Steud.";"Santalaceae";"Osyris";"lanceolata";"species"
2135;"Osyris quadripartita";"Osyris quadripartita";;"Osyris lanceolata";"Hochst. & Steud.";"Santalaceae";"Osyris";"lanceolata";"species"
135;"Osyris spp.";"Osyris";;"Osyris";"L.";"Santalaceae";"Osyris";;"genus"
19;"Otras coníferas";;;;;;;;
99;"Otras frondosas";;;;;;;;
89;"Otras laurisilvas";;;;;;;;
103;"Otras papilionoideas altas";;;;;;;;
104;"Otras papilionoideas bajas";;;;;;;;
63;"Otros eucaliptos";"Eucalyptus";;"Eucalyptus";"L'Hér.";"Myrtaceae";"Eucalyptus";;"genus"
29;"Otros pinos";"Pinus";;"Pinus";"L.";"Pinaceae";"Pinus";;"genus"
49;"Otros quercus";"Quercus";;"Quercus";"L.";"Fagaceae";"Quercus";;"genus"
59;"Otros árboles ripícolas";;;;;;;;
147;"Paliurus spina-christi";"Paliurus spina-christi";"Mill.";"Paliurus spina-christi";"Mill.";"Rhamnaceae";"Paliurus";"spina-christi";"species"
3500;"Pastizal-Matorral en mosaico";;;;;;;;
183;"Periploca laevigata";"Periploca laevigata";"Aiton";"Periploca laevigata";"Aiton";"Apocynaceae";"Periploca";"laevigata";"species"
84;"Persea indica";"Persea indica";"(L.) C.K.Spreng.";"Persea indica";"(L.) Spreng.";"Lauraceae";"Persea";"indica";"species"
113;"Phillyrea angustifolia";"Phillyrea angustifolia";"L.";"Phillyrea angustifolia";"L.";"Oleaceae";"Phillyrea";"angustifolia";"species"
8;"Phillyrea latifolia";"Phillyrea latifolia";"L.";"Phillyrea latifolia";"L.";"Oleaceae";"Phillyrea";"latifolia";"species"
1171;"Phlomis lychnitis";"Phlomis lychnitis";"L.";"Phlomis lychnitis";"L.";"Lamiaceae";"Phlomis";"lychnitis";"species"
2171;"Phlomis purpurea";"Phlomis purpurea";"L.";"Phlomis purpurea";"L.";"Lamiaceae";"Phlomis";"purpurea";"species"
171;"Phlomis spp.";"Phlomis";;"Phlomis";"L.";"Lamiaceae";"Phlomis";;"genus"
469;"Phoenix canariensis";"Phoenix canariensis";"Chabaud";"Phoenix canariensis";"Chabaud";"Arecaceae";"Phoenix";"canariensis";"species"
69;"Phoenix spp.";"Phoenix";;"Phoenix";"L.";"Arecaceae";"Phoenix";;"genus"
86;"Picconia excelsa";"Picconia excelsa";"(Aiton) DC.";"Picconia excelsa";"DC.";"Oleaceae";"Picconia";"excelsa";"species"
33;"Picea abies";"Picea abies";"(L.) H.Karst.";"Picea abies";"(L.) H.Karst.";"Pinaceae";"Picea";"abies";"species"
20;"Pinos";"Pinus";;"Pinus";"L.";"Pinaceae";"Pinus";;"genus"
27;"Pinus canariensis";"Pinus canariensis";"C.Sm. ex DC. in Buch";"Pinus canariensis";"C.Sm. ex DC.";"Pinaceae";"Pinus";"canariensis";"species"
24;"Pinus halepensis";"Pinus halepensis";"Mill.";"Pinus halepensis";"Mill.";"Pinaceae";"Pinus";"halepensis";"species"
25;"Pinus nigra";"Pinus nigra";"J.F.Arnold";"Pinus nigra";"Aiton";"Pinaceae";"Pinus";"nigra";"species"
26;"Pinus pinaster";"Pinus pinaster";"Aiton";"Pinus pinaster";"Aiton";"Pinaceae";"Pinus";"pinaster";"species"
23;"Pinus pinea";"Pinus pinea";"L.";"Pinus pinea";"L.";"Pinaceae";"Pinus";"pinea";"species"
28;"Pinus radiata";"Pinus radiata";"D.Don";"Pinus radiata";"D.Don";"Pinaceae";"Pinus";"radiata";"species"
21;"Pinus sylvestris";"Pinus sylvestris";"L.";"Pinus sylvestris";"L.";"Pinaceae";"Pinus";"sylvestris";"species"
22;"Pinus uncinata";"Pinus uncinata";"Ramond ex DC. in Lam. & DC.";"Pinus uncinata";"Ramond ex DC.";"Pinaceae";"Pinus";"uncinata";"species"
293;"Pistacia atlantica";"Pistacia atlantica";"Desf.";"Pistacia atlantica";"Desf.";"Anacardiaceae";"Pistacia";"atlantica";"species"
111;"Pistacia lentiscus";"Pistacia lentiscus";"L.";"Pistacia lentiscus";"L.";"Anacardiaceae";"Pistacia";"lentiscus";"species"
93;"Pistacia terebinthus";"Pistacia terebinthus";"L.";"Pistacia terebinthus";"L.";"Anacardiaceae";"Pistacia";"terebinthus";"species"
9300;"Pistacia terebinthus";"Pistacia terebinthus";"L.";"Pistacia terebinthus";"L.";"Anacardiaceae";"Pistacia";"terebinthus";"species"
79;"Platanus hispanica";"Platanus hispanica";"Mill. ex Münchh.";"Platanus hispanica";"Mill. ex Münchh.";"Platanaceae";"Platanus";"hispanica";"species"
279;"Platanus orientalis";"Platanus orientalis";;"Platanus orientalis";"L.";"Platanaceae";"Platanus";"orientalis";"species"
289;"Pleiomeris canariensis";"Pleiomeris canariensis";"(Willd.) A.DC.";"Pleiomeris canariensis";"(Willd.) A.DC.";"Primulaceae";"Pleiomeris";"canariensis";"species"
51;"Populus alba";"Populus alba";"L.";"Populus alba";"L.";"Salicaceae";"Populus";"alba";"species"
58;"Populus nigra";"Populus nigra";"L.";"Populus nigra";"L.";"Salicaceae";"Populus";"nigra";"species"
52;"Populus tremula";"Populus tremula";"L.";"Populus tremula";"L.";"Salicaceae";"Populus";"tremula";"species"
258;"Populus x canadensis";"Populus x canadensis";;;;;;;
3400;"Prado en mosaico";"Prado en mosaico";;"Pradosia";"Liais";"Sapotaceae";"Pradosia";;"genus"
395;"Prunus avium";"Prunus avium";"L.";"Prunus avium";"(L.) L.";"Rosaceae";"Prunus";"avium";"species"
495;"Prunus lusitanica";"Prunus lusitanica";"L.";"Prunus lusitanica";"L.";"Rosaceae";"Prunus";"lusitanica";"species"
148;"Prunus mahaleb";"Prunus mahaleb";"L.";"Prunus mahaleb";"L.";"Rosaceae";"Prunus";"mahaleb";"species"
1095;"Prunus mahaleb";"Prunus mahaleb";"L.";"Prunus mahaleb";"L.";"Rosaceae";"Prunus";"mahaleb";"species"
595;"Prunus padus";"Prunus padus";"L.";"Prunus padus";"L.";"Rosaceae";"Prunus";"padus";"species"
295;"Prunus spinosa";"Prunus spinosa";"L.";"Prunus spinosa";"L.";"Rosaceae";"Prunus";"spinosa";"species"
2950;"Prunus spinosa";"Prunus spinosa";"L.";"Prunus spinosa";"L.";"Rosaceae";"Prunus";"spinosa";"species"
95;"Prunus spp.";"Prunus";;"Prunus";"L.";"Rosaceae";"Prunus";;"genus"
34;"Pseudotsuga menziesii";"Pseudotsuga menziesii";"(Mirb.) Franco";"Pseudotsuga menziesii";"(Mirb.) Franco";"Pinaceae";"Pseudotsuga";"menziesii";"species"
136;"Pterospartum tridentatum";"Pterospartum tridentatum";"(L.) Willk. in Willk. & Lange";"Genista tridentata";"L.";"Fabaceae";"Genista";"tridentata";"species"
16;"Pyrus spp.";"Pyrus";;"Pyrus";"L.";"Rosaceae";"Pyrus";;"genus"
40;"Quercus";"Quercus";;"Quercus";"L.";"Fagaceae";"Quercus";;"genus"
344;"Quercus alpestris";"Quercus alpestris";;"Quercus faginea";"Lam.";"Fagaceae";"Quercus";"faginea";"species"
47;"Quercus canariensis";"Quercus canariensis";"Willd.";"Quercus canariensis";"Willd.";"Fagaceae";"Quercus";"canariensis";"species"
105;"Quercus coccifera";"Quercus coccifera";"L.";"Quercus coccifera";"L.";"Fagaceae";"Quercus";"coccifera";"species"
44;"Quercus faginea";"Quercus faginea";"Lam.";"Quercus faginea";"Lam.";"Fagaceae";"Quercus";"faginea";"species"
1105;"Quercus fruticosa";"Quercus fruticosa";;"Quercus lusitanica";"Lam.";"Fagaceae";"Quercus";"lusitanica";"species"
45;"Quercus ilex";"Quercus ilex";"L.";"Quercus ilex";"L.";"Fagaceae";"Quercus";"ilex";"species"
45;"Quercus ilex ssp. ballota";"Quercus ilex ballota";"(Desf.) Samp.";"Quercus ilex";"L.";"Fagaceae";"Quercus";"ilex";"species"
245;"Quercus ilex ssp. ilex";"Quercus ilex ilex";"L.";"Quercus ilex";"L.";"Fagaceae";"Quercus";"ilex";"species"
244;"Quercus lusitanica";"Quercus lusitanica";"Lam.";"Quercus lusitanica";"Lam.";"Fagaceae";"Quercus";"lusitanica";"species"
244;"Quercus lusitanica (Q. fruticosa)";"Quercus lusitanica";"Lam.";"Quercus lusitanica";"Lam.";"Fagaceae";"Quercus";"lusitanica";"species"
42;"Quercus petraea";"Quercus petraea";"(Matt.) Liebl.";"Quercus petraea";"(Matt.) Liebl.";"Fagaceae";"Quercus";"petraea";"species"
243;"Quercus pubescens";"Quercus pubescens";"Willd.";"Quercus pubescens";"Willd.";"Fagaceae";"Quercus";"pubescens";"species"
243;"Quercus pubescens (Q. humilis)";"Quercus pubescens";"Willd.";"Quercus pubescens";"Willd.";"Fagaceae";"Quercus";"pubescens";"species"
43;"Quercus pyrenaica";"Quercus pyrenaica";"Willd.";"Quercus pyrenaica";"Willd.";"Fagaceae";"Quercus";"pyrenaica";"species"
41;"Quercus robur";"Quercus robur";"L.";"Quercus robur";"L.";"Fagaceae";"Quercus";"robur";"species"
48;"Quercus rubra";"Quercus rubra";"L.";"Quercus rubra";"L.";"Fagaceae";"Quercus";"rubra";"species"
46;"Quercus suber";"Quercus suber";"L.";"Quercus suber";"L.";"Fagaceae";"Quercus";"suber";"species"
2165;"Retama monosperma";"Retama monosperma";"(L.) Boiss.";"Retama monosperma";"(L.) Boiss.";"Fabaceae";"Retama";"monosperma";"species"
2165;"Retama mosnosperma";"Retama mosnosperma";;"Retama monosperma";"(L.) Boiss.";"Fabaceae";"Retama";"monosperma";"species"
1165;"Retama sphaerocarpa";"Retama sphaerocarpa";"(L.) Boiss.";"Retama sphaerocarpa";"(L.) Boiss.";"Fabaceae";"Retama";"sphaerocarpa";"species"
4103;"Retama spp.";"Retama";;"Retama";"Raf.";"Fabaceae";"Retama";;"genus"
4;"Rhamnus alaternus";"Rhamnus alaternus";"L.";"Rhamnus alaternus";"L.";"Rhamnaceae";"Rhamnus";"alaternus";"species"
6122;"Rhamnus alaternus";"Rhamnus alaternus";"L.";"Rhamnus alaternus";"L.";"Rhamnaceae";"Rhamnus";"alaternus";"species"
3122;"Rhamnus alpinus";"Rhamnus alpinus";;"Ozothamnus alpinus";"(N.A.Wakef.) Anderb.";"Asteraceae";"Ozothamnus";"alpinus";"species"
389;"Rhamnus glandulosa";"Rhamnus glandulosa";"Aiton";"Rhamnus glandulosa";"Aiton";"Rhamnaceae";"Rhamnus";"glandulosa";"species"
1122;"Rhamnus lycioides";"Rhamnus lycioides";"L.";"Rhamnus lycioides";"L.";"Rhamnaceae";"Rhamnus";"lycioides";"species"
5122;"Rhamnus myrtifolius";"Rhamnus myrtifolius";;"Cytisus procumbens";"(Waldst. & Kit. ex Willd.) Spreng.";"Fabaceae";"Cytisus";"procumbens";"species"
4122;"Rhamnus oleoides";"Rhamnus oleoides";"L.";"Rhamnus oleoides";"L.";"Rhamnaceae";"Rhamnus";"oleoides";"species"
2122;"Rhamnus saxatilis";"Rhamnus saxatilis";"Jacq.";"Rhamnus saxatilis";"Jacq.";"Rhamnaceae";"Rhamnus";"saxatilis";"species"
122;"Rhamnus spp.";"Rhamnus";;"Rhamnus";"L.";"Rhamnaceae";"Rhamnus";;"genus"
2108;"Rhododendron ferrugineum";"Rhododendron ferrugineum";"L.";"Rhododendron ferrugineum";"L.";"Ericaceae";"Rhododendron";"ferrugineum";"species"
1108;"Rhododendron ponticum";"Rhododendron ponticum";"L.";"Rhododendron ponticum";"L.";"Ericaceae";"Rhododendron";"ponticum";"species"
108;"Rhododendron spp.";"Rhododendron";;"Rhododendron";"L.";"Ericaceae";"Rhododendron";;"genus"
96;"Rhus coriaria";"Rhus coriaria";"L.";"Rhus coriaria";"L.";"Anacardiaceae";"Rhus";"coriaria";"species"
1131;"Ribes alpinum";"Ribes alpinum";"L.";"Ribes alpinum";"L.";"Grossulariaceae";"Ribes";"alpinum";"species"
2131;"Ribes rubrum";"Ribes rubrum";"L.";"Ribes rubrum";"L.";"Grossulariaceae";"Ribes";"rubrum";"species"
131;"Ribes spp.";"Ribes";;"Ribes";"L.";"Grossulariaceae";"Ribes";;"genus"
92;"Robinia pseudacacia";"Robinia pseudacacia";;"Robinia pseudoacacia";"L.";"Fabaceae";"Robinia";"pseudoacacia";"species"
92;"Robinia pseudoacacia";"Robinia pseudoacacia";"L.";"Robinia pseudoacacia";"L.";"Fabaceae";"Robinia";"pseudoacacia";"species"
119;"Rosa spp.";"Rosa";;"Rosa";"L.";"Rosaceae";"Rosa";;"genus"
114;"Rosmarinus officinalis";"Rosmarinus officinalis";"L.";"Rosmarinus officinalis";"L.";"Lamiaceae";"Rosmarinus";"officinalis";"species"
1114;"Rosmarinus tomentosus";"Rosmarinus tomentosus";"Hub.-Mor. & Maire";"Rosmarinus tomentosus";"Hub.-Mor. & Maire";"Lamiaceae";"Rosmarinus";"tomentosus";"species"
1121;"Rubus caesius";"Rubus caesius";"L.";"Rubus caesius";"L.";"Rosaceae";"Rubus";"caesius";"species"
2121;"Rubus idaeus";"Rubus idaeus";"L.";"Rubus idaeus";"L.";"Rosaceae";"Rubus";"idaeus";"species"
121;"Rubus spp.";"Rubus";;"Rubus";"L.";"Rosaceae";"Rubus";;"genus"
3121;"Rubus ulmifolius";"Rubus ulmifolius";"Schott";"Rubus ulmifolius";"Schott";"Rosaceae";"Rubus";"ulmifolius";"species"
166;"Rumex lunaria";"Rumex lunaria";"L.";"Rumex lunaria";"L.";"Polygonaceae";"Rumex";"lunaria";"species"
130;"Ruscus aculeatus";"Ruscus aculeatus";"L.";"Ruscus aculeatus";"L.";"Asparagaceae";"Ruscus";"aculeatus";"species"
1130;"Ruscus hypophyllum";"Ruscus hypophyllum";"L.";"Ruscus hypophyllum";"L.";"Asparagaceae";"Ruscus";"hypophyllum";"species"
257;"Salix alba";"Salix alba";"L.";"Salix alba";"L.";"Salicaceae";"Salix";"alba";"species"
357;"Salix atrocinerea";"Salix atrocinerea";"Brot.";"Salix atrocinerea";"Brot.";"Salicaceae";"Salix";"atrocinerea";"species"
457;"Salix babylonica";"Salix babylonica";;"Salix babylonica";"L.";"Salicaceae";"Salix";"babylonica";"species"
858;"Salix canariensis";"Salix canariensis";"C.Sm. ex Link";"Salix pedicellata  subsp. canariensis";"(C.Sm. ex Link) A.K.Skvortsov";"Salicaceae";"Salix";"pedicellata";"subspecies"
557;"Salix cantabrica";"Salix cantabrica";"Rech.f.";"Salix bicolor";"Ehrh. ex Willd.";"Salicaceae";"Salix";"bicolor";"species"
657;"Salix caprea";"Salix caprea";"L.";"Salix caprea";"L.";"Salicaceae";"Salix";"caprea";"species"
757;"Salix elaeagnos";"Salix elaeagnos";;"Salix eleagnos";"Scop.";"Salicaceae";"Salix";"eleagnos";"species"
857;"Salix fragilis";"Salix fragilis";"L.";"Salix × fragilis";"L.";"Salicaceae";"Salix";"fragilis";"species"
957;"Salix purpurea";"Salix purpurea";"L.";"Salix purpurea";"L.";"Salicaceae";"Salix";"purpurea";"species"
57;"Salix spp.";"Salix";;"Salix";"L.";"Salicaceae";"Salix";;"genus"
186;"Salsola spp.";"Salsola";;"Salsola";"L.";"Amaranthaceae";"Salsola";;"genus"
97;"Sambucus nigra";"Sambucus nigra";"L.";"Sambucus nigra";"L.";"Viburnaceae";"Sambucus";"nigra";"species"
197;"Sambucus palmensis";"Sambucus palmensis";;"Sambucus palmensis";"Link";"Viburnaceae";"Sambucus";"palmensis";"species"
297;"Sambucus racemosa";"Sambucus racemosa";"L.";"Sambucus racemosa";"L.";"Viburnaceae";"Sambucus";"racemosa";"species"
2970;"Sambucus racemosa";"Sambucus racemosa";"L.";"Sambucus racemosa";"L.";"Viburnaceae";"Sambucus";"racemosa";"species"
997;"Sambucus spp.";"Sambucus";;"Sambucus";"L.";"Viburnaceae";"Sambucus";;"genus"
2127;"Santolina chamecyparissus";"Santolina chamecyparissus";;"Santolina chamaecyparissus";"L.";"Asteraceae";"Santolina";"chamaecyparissus";"species"
127;"Santolina rosmarinifolia";"Santolina rosmarinifolia";"L.";"Santolina rosmarinifolia";"L.";"Asteraceae";"Santolina";"rosmarinifolia";"species"
1127;"Santolina spp.";"Santolina";;"Santolina";"L.";"Asteraceae";"Santolina";;"genus"
8103;"Sarothamnus scoparius";"Sarothamnus scoparius";;"Cytisus scoparius";"(L.) Link";"Fabaceae";"Cytisus";"scoparius";"species"
5103;"Sarothamnus vulgaris";"Sarothamnus vulgaris";;"Cytisus scoparius";"(L.) Link";"Fabaceae";"Cytisus";"scoparius";"species"
181;"Securinega tinctoria";"Securinega tinctoria";;"Flueggea tinctoria";"(L.) G.L.Webster";"Phyllanthaceae";"Flueggea";"tinctoria";"species"
180;"Sideritis spp.";"Sideritis";;"Sideritis";"L.";"Lamiaceae";"Sideritis";;"genus"
85;"Sideroxylon marmulano";"Sideroxylon marmulano";;"Sideroxylon mirmulans";"R.Br.";"Sapotaceae";"Sideroxylon";"mirmulans";"species"
85;"Sideroxylon mirmulans";"Sideroxylon mirmulans";;"Sideroxylon mirmulans";"R.Br.";"Sapotaceae";"Sideroxylon";"mirmulans";"species"
10;"Sin asignar";;;;;;;;
149;"Smilax aspera";"Smilax aspera";"L.";"Smilax aspera";"L.";"Smilacaceae";"Smilax";"aspera";"species"
292;"Sophora japonica";"Sophora japonica";"L.";"Styphnolobium japonicum";"(L.) Schott";"Fabaceae";"Styphnolobium";"japonicum";"species"
