"NFICode";"NFIName";"originalName";"originalNameAuthorship";"acceptedName";"acceptedNameAuthorship";"family";"genus";"specificEpithet";"taxonRank"
9071;"Buxus balearica";"Buxus balearica";"Lam.";"Buxus balearica";"Lam.";"Buxaceae";"Buxus";"balearica";"species"
91;"Buxus sempervirens";"Buxus sempervirens";"L.";"Buxus sempervirens";"L.";"Buxaceae";"Buxus";"sempervirens";"species"
9100;"Buxus sempervirens";"Buxus sempervirens";"L.";"Buxus sempervirens";"L.";"Buxaceae";"Buxus";"sempervirens";"species"
9072;"Calicotome infesta";"Calicotome infesta";"(C.Presl) Guss.";"Calicotome infesta";"(C.Presl) Guss.";"Fabaceae";"Calicotome";"infesta";"species"
2104;"Calicotome spinosa";"Calicotome spinosa";"(L.) Link";"Calicotome spinosa";"(L.) Link";"Fabaceae";"Calicotome";"spinosa";"species"
2105;"Calicotome spp.";"Calicotome";;"Calicotome";"Link";"Fabaceae";"Calicotome";;"genus"
3104;"Calicotome villosa";"Calicotome villosa";"(Poir.) Link";"Calicotome villosa";"(Poir.) Link";"Fabaceae";"Calicotome";"villosa";"species"
106;"Calluna vulgaris";"Calluna vulgaris";"(L.) Hull";"Calluna vulgaris";"(L.) Hill";"Ericaceae";"Calluna";"vulgaris";"species"
98;"Carpinus betulus";"Carpinus betulus";"L.";"Carpinus betulus";"L.";"Betulaceae";"Carpinus";"betulus";"species"
72;"Castanea sativa";"Castanea sativa";"Mill.";"Castanea sativa";"Mill.";"Fagaceae";"Castanea";"sativa";"species"
17;"Cedrus atlantica";"Cedrus atlantica";"(Endl.) Carrière";"Cedrus atlantica";"(Endl.) G.Manetti ex Carrière";"Pinaceae";"Cedrus";"atlantica";"species"
217;"Cedrus deodara";"Cedrus deodara";"(Roxb. ex D.Don) G.Don in Loudon";"Cedrus deodara";"(Roxb. ex D.Don) G.Don";"Pinaceae";"Cedrus";"deodara";"species"
317;"Cedrus libani";"Cedrus libani";;"Cedrus libani";"A.Rich.";"Pinaceae";"Cedrus";"libani";"species"
917;"Cedrus spp.";"Cedrus";;"Cedrus";"Trew";"Pinaceae";"Cedrus";;"genus"
13;"Celtis australis";"Celtis australis";"L.";"Celtis australis";"L.";"Cannabaceae";"Celtis";"australis";"species"
67;"Ceratonia siliqua";"Ceratonia siliqua";"L.";"Ceratonia siliqua";"L.";"Fabaceae";"Ceratonia";"siliqua";"species"
18;"Chamaecyparis lawsoniana";"Chamaecyparis lawsoniana";"(A.Murray) Parl.";"Chamaecyparis lawsoniana";"(A.Murray bis) Parl.";"Cupressaceae";"Chamaecyparis";"lawsoniana";"species"
160;"Chamaecytisus proliferus";"Chamaecytisus proliferus";"(L.f.) Link";"Chamaecytisus proliferus";"(L.f.) Link";"Fabaceae";"Chamaecytisus";"proliferus";"species"
369;"Chamaerops humilis";"Chamaerops humilis";"L.";"Chamaerops humilis";"L.";"Arecaceae";"Chamaerops";"humilis";"species"
3690;"Chamaerops humilis";"Chamaerops humilis";"L.";"Chamaerops humilis";"L.";"Arecaceae";"Chamaerops";"humilis";"species"
136;"Chamaespartium tridentatum";"Chamaespartium tridentatum";;"Genista tridentata";"L.";"Fabaceae";"Genista";"tridentata";"species"
3101;"Cistus albidus";"Cistus albidus";"L.";"Cistus albidus";"L.";"Cistaceae";"Cistus";"albidus";"species"
4101;"Cistus clusii";"Cistus clusii";"Dunal in DC.";"Cistus clusii";"Dunal";"Cistaceae";"Cistus";"clusii";"species"
9073;"Cistus creticus";"Cistus creticus";"L.";"Cistus creticus";"L.";"Cistaceae";"Cistus";"creticus";"species"
7101;"Cistus crispus";"Cistus crispus";"L.";"Cistus crispus";"L.";"Cistaceae";"Cistus";"crispus";"species"
